id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
8275	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	16	grassland	9.4	481	7.1	2010	Festuca brevipila	LSU	454Roche	1
8279	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	217	grassland	9.4	481	7.755	2010	Festuca brevipila	LSU	454Roche	8
8284	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	244	grassland	9.4	481	6.12	2010	Festuca brevipila	LSU	454Roche	24
8299	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.25563	50.8456	Europe	soil	14	cropland	9.7	774	7.7	2016	Triticum aestivum 	LSU	Illumina	1
8312	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	157	grassland	9.4	481	6.385	2010	Festuca brevipila	LSU	454Roche	1
8314	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	7	grassland	9.4	481	5.84	2010	Festuca brevipila	LSU	454Roche	5
8319	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	109	grassland	9.4	481	8.06	2010	Festuca brevipila	LSU	454Roche	7
8320	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	264	grassland	9.4	481	6.43	2010	Festuca brevipila	LSU	454Roche	3
8321	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	278	grassland	9.4	481	6.12	2010	Festuca brevipila	LSU	454Roche	264
8322	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	148	grassland	9.4	481	8.07	2010	Festuca brevipila	LSU	454Roche	2
8323	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	111	grassland	9.4	481	7.45	2010	Festuca brevipila	LSU	454Roche	1
8333	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	25	grassland	9.4	481	6.43	2010	Festuca brevipila	LSU	454Roche	2
8342	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	184	grassland	9.4	481	7.86	2010	Festuca brevipila	LSU	454Roche	3
8353	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	172	grassland	9.4	481	7.19	2010	Festuca brevipila	LSU	454Roche	20
8357	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	16	grassland	9.4	481	8.235	2010	Festuca brevipila	LSU	454Roche	3
8381	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	17	grassland	9.4	481	7.645	2010	Festuca brevipila	LSU	454Roche	15
8382	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	10	grassland	9.4	481	7.18	2010	Festuca brevipila	LSU	454Roche	4
8387	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	12	grassland	9.4	481	7.795	2010	Festuca brevipila	LSU	454Roche	9
8403	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	7	grassland	9.4	481	7.19	2010	Festuca brevipila	LSU	454Roche	4
8406	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	41	grassland	9.4	481	8.07	2010	Festuca brevipila	LSU	454Roche	34
8408	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	17	grassland	9.4	481	7.725	2010	Festuca brevipila	LSU	454Roche	5
8418	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	6	grassland	9.4	481	6.12	2010	Festuca brevipila	LSU	454Roche	2
8419	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	3	grassland	9.4	481	7.85	2010	Festuca brevipila	LSU	454Roche	1
8450	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	8	grassland	9.4	481	7.765	2010	Festuca brevipila	LSU	454Roche	2
8456	Horn_2014_B890	LR3/LROR	14.4892	52.463	Europe	soil	2	grassland	9.4	481	7.29	2010	Festuca brevipila	LSU	454Roche	2
