id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
1448	Zhang_2021_1IM	NS1/NS4 then AMV4.5NF/AMDGR	112.53	23.17	Asia	soil	141652	forest	20.7	2167	3.4	2015	Castanopsis chinensis;Gironniera subaequalis;Schima superba;Syzygium acuminatissimum;Syzygium rehderianum;Aidia canthioides;Psychotria rubra;Blastus cochinchinensis;Cryptocarya concinna;Machilus chinensis;Lophatherum gracile	SSU	Illumina	1
1503	Jiang_2020_1BX	AMV4.5NF/AMDGR	109.496	18.2847	Asia	rhizosphere soil	161189	cropland	25.6	1373	6.04	2018	Mangifera indica	SSU	Illumina	1
1505	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.186	-25.9935	Africa	root	31711	grassland	16	778	4.12	2017	Eragostis tef	SSU	Illumina	1
1507	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.2023	-26.0091	Africa	soil	111459	grassland	16.1	738	4.03	2017	Eragostis tef	SSU	Illumina	25
1509	Jiang_2020_1BX	AMV4.5NF/AMDGR	108.798	18.4803	Asia	rhizosphere soil	53434	cropland	25.6	1180	5.08	2018	Mangifera indica	SSU	Illumina	1
1510	Higo_2019_1ER	NS31/AM1 then AMV4.5NF/AMDGR	139.466	35.3802	Asia	root	45618	cropland	15.9	1589	5.78	2017	Zea mays	SSU	Illumina	1
1519	Vasar_2021_1HW	WANDA/AML2	18.9556	-33.9881	Africa	soil	107124	shrubland	15.6	1120	4.33	2010	NA_	SSU	Illumina	1
1534	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1861	-25.9954	Africa	soil	95197	grassland	16	778	4.12	2017	Eragostis tef	SSU	Illumina	3450
1536	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1861	-25.9954	Africa	root	31974	grassland	16	778	4.12	2017	Eragostis tef	SSU	Illumina	2
1608	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1947	-26.0035	Africa	root	43094	grassland	16	757	4.69	2017	Eragostis tef	SSU	Illumina	2
1617	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1856	-25.9984	Africa	root	58048	grassland	16	778	4.39	2017	Eragostis tef	SSU	Illumina	4
1636	Faggioli_2019_1AX	AMV4.5NF/AMDGR	-64.1857	-31.5606	South America	soil	108847	anthropogenic	17.4	848	6.19	2015	Tagetes minuta	SSU	Illumina	1
1637	Jiang_2020_1BX	AMV4.5NF/AMDGR	109.493	21.9958	Asia	rhizosphere soil	109069	cropland	23	1699	4.5	2018	Litchi chinensis	SSU	Illumina	1
1663	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1947	-26.0035	Africa	soil	108385	grassland	16	757	4.69	2017	Eragostis tef	SSU	Illumina	209
1665	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1908	-26.0018	Africa	soil	107827	grassland	16	775	4.16	2017	Eragostis tef	SSU	Illumina	112
1672	Vasar_2021_1HW	WANDA/AML2	-48.8522	-15.81	South America	soil	9586	shrubland	21	1926	4.11	2016	NA_	SSU	Illumina	37
1700	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1859	-25.9993	Africa	soil	122739	grassland	16	778	4.39	2017	Eragostis tef	SSU	Illumina	30
1706	Vasar_2021_1HW	WANDA/AML2	-38.8819	-4.47694	South America	soil	15129	forest	27.4	1072	5.62	2018	NA_	SSU	Illumina	2
1711	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1899	-26.0029	Africa	root	33027	grassland	16	775	4.16	2017	Eragostis tef	SSU	Illumina	5
1721	Vasar_2021_1HW	WANDA/AML2	-64.9406	-32.7689	South America	soil	52313	grassland	9.9	832	5.1	2007	NA_	SSU	Illumina	1
1723	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.2022	-26.0083	Africa	soil	131164	grassland	16.1	738	4.03	2017	Eragostis tef	SSU	Illumina	15
1736	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1872	-25.9999	Africa	root	33126	grassland	16	778	4.39	2017	Eragostis tef	SSU	Illumina	118
1754	Jiang_2020_1BX	AMV4.5NF/AMDGR	106.637	23.9925	Asia	rhizosphere soil	70067	cropland	22	1008	4.32	2018	Mangifera indica	SSU	Illumina	2
1779	Jiang_2020_1BX	AMV4.5NF/AMDGR	109.189	22.4139	Asia	rhizosphere soil	169046	cropland	22.7	1604	4.45	2018	Litchi chinensis	SSU	Illumina	1
1780	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1887	-26	Africa	root	37704	grassland	16	778	4.39	2017	Eragostis tef	SSU	Illumina	40
1784	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1983	-26.0051	Africa	soil	100471	grassland	16	757	4.69	2017	Eragostis tef	SSU	Illumina	67
1788	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.2022	-26.0083	Africa	root	28883	grassland	16.1	738	4.03	2017	Eragostis tef	SSU	Illumina	1
1797	Vasar_2021_1HW	WANDA/AML2	-70.3636	-3.77389	South America	soil	40487	forest	25.1	2962	4.19	2017	NA_	SSU	Illumina	2
