id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
547	Rezacova_2019_1CU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4 	15.1268	50.8928	Europe	soil	13484	grassland	8	733	6.15	2013	NA_	ITS2	Illumina	5
555	Rezacova_2019_1CU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4 	14.0122	49.0113	Europe	soil	12784	grassland	7.8	695	5.4	2013	NA_	ITS2	Illumina	2
560	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.6364	50.0861	Europe	root	20843	grassland	9.1	563	5.37	2018	Daucus carota	ITS2	Illumina	84
600	Bouffaud_2016_CC48	SSUmCf/LSUmBr then ITS3m/ITS4	8.95	46.95	Europe	soil	11489	grassland	0.3	2261	5.14	2012	NA_	ITS2	454Roche	1
605	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	9.29237	40.816	Europe	soil	2225	grassland	15.8	549	5.32	2011	Avena sativa;Lolium multiflorum;Trifolium subterraneum;Trifolium michelianum	ITS2	454Roche	252
606	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	-2.08186	54.3089	Europe	soil	2738	grassland	8.6	1001	5.49	2011	Anthoxanthum odoratum;Geranium sylvaticum	ITS2	454Roche	379
609	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	5.7518	52.0028	Europe	soil	3035	grassland	10.1	813	5.52	2011	NA_	ITS2	454Roche	80
611	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	9.28785	40.8178	Europe	soil	1420	grassland	15.5	552	5.92	2011	NA_	ITS2	454Roche	2
615	Bouffaud_2016_1AM	SSUmCf/LSUmBr then ITS3m/ITS4	4.7125	46.9256	Europe	root	7386	cropland	10.8	790	8.11	2013	Vitis vinifera	ITS2	454Roche	1
616	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	5.80108	52.0292	Europe	soil	7309	grassland	10	833	5.06	2011	NA_	ITS2	454Roche	11
620	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.6371	50.0901	Europe	root	20713	grassland	9.1	563	4.62	2018	Symphiotrichum novi-belgii	ITS2	Illumina	1
680	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	9.28785	40.8178	Europe	soil	8910	grassland	15.5	552	5.92	2011	NA_	ITS2	454Roche	17
694	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	9.29237	40.816	Europe	soil	1139	grassland	15.8	549	5.32	2011	Avena sativa;Lolium multiflorum;Trifolium subterraneum;Trifolium michelianum	ITS2	454Roche	4
701	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	5.80108	52.0292	Europe	soil	1041	grassland	10	833	5.06	2011	NA_	ITS2	454Roche	1
800	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	-2.07077	54.309	Europe	soil	1184	grassland	8.6	1020	5.35	2011	Lolium perenne;Cynosurus cristatus	ITS2	454Roche	165
819	Bouffaud_2017_4492	SSUmCf/LSUmBr then ITS3m/ITS4	-2.08186	54.3089	Europe	soil	1342	grassland	8.6	1001	5.49	2011	Anthoxanthum odoratum;Geranium sylvaticum	ITS2	454Roche	11
7904	Lojan_2016_ED57	SSUmAf1+2/LSUmAr1 to 4 then LSU-D1f/LSUmBr	-79.1801	-4.00044	South America	root	2999	cropland	15.4	777	4.91	2012	Solanum tuberosum	LSU	454Roche	20
8185	Lojan_2016_ED57	SSUmAf1+2/LSUmAr1 to 4 then LSU-D1f/LSUmBr	-78.5569	-0.370597	South America	root	2526	cropland	10.8	1539	5.54	2012	Solanum tuberosum	LSU	454Roche	37
8219	Lojan_2016_ED57	SSUmAf1+2/LSUmAr1 to 4 then LSU-D1f/LSUmBr	-79.1801	-4.00044	South America	root	3240	cropland	15.4	777	4.91	2012	Solanum tuberosum	LSU	454Roche	3218
